"","_id","SECURITY","STAIRWELLS","GARBAGE_CHUTE_ROOMS","ELEVATORS","INTERIOR_WALL_CEILING_FLOOR","INTERIOR_LIGHTING_LEVELS","GRAFFITI","EXTERIOR_CLADDING","WATER_PEN_EXT_BLDG_ELEMENTS","age"
"1",1158131,5,4,3,4,4,4,5,4,4,57
"2",1158132,5,5,4,4,4,5,5,4,5,57
"3",1158133,5,4,3,4,3,3,5,3,4,53
"4",1158134,5,3,3,4,3,4,5,2,4,59
"5",1158135,5,3,2,3,3,3,5,2,4,52
"6",1158137,5,3,4,4,3,4,5,4,4,54
"7",1158138,5,5,3,4,4,5,5,4,4,25
"8",1158139,4,2,1,2,3,2,2,3,4,51
"9",1158140,5,2,4,4,5,5,5,4,4,55
"10",1158141,5,3,4,4,5,5,5,4,4,53
"11",1158143,5,4,2,3,3,5,5,3,4,26
"12",1158147,5,2,3,4,3,3,5,4,4,28
"13",1158149,5,5,5,5,4,5,5,5,5,49
"14",1158152,5,4,4,4,4,5,5,4,5,28
"15",1158155,5,2,4,4,3,3,5,2,3,53
"16",1158156,5,3,2,2,2,3,3,3,3,57
"17",1158157,5,4,3,4,3,3,5,4,4,43
"18",1158159,5,4,4,4,4,5,5,4,4,51
"19",1158161,5,4,3,4,3,4,5,4,4,29
"20",1158164,5,4,3,4,4,4,5,3,3,50
"21",1158168,4,4,4,4,4,4,5,4,2,57
"22",1158173,5,4,3,4,4,3,5,5,5,28
"23",1158177,5,4,5,5,3,5,5,4,4,62
"24",1158178,5,4,4,5,4,4,5,4,4,56
"25",1158179,5,4,3,3,4,5,5,4,3,56
"26",1158180,5,5,5,5,4,5,5,5,5,57
"27",1158181,5,5,5,4,5,5,5,4,4,60
"28",1158183,5,3,4,3,4,5,5,2,4,56
"29",1158184,5,5,3,5,4,5,2,4,4,59
"30",1158187,4,2,2,3,2,3,5,3,3,53
"31",1158188,4,4,4,5,4,5,5,4,3,39
"32",1158190,5,4,4,5,4,4,5,4,4,53
"33",1158195,4,3,3,4,4,4,5,4,4,53
"34",1158198,5,4,4,5,4,5,4,4,4,49
"35",1158199,4,4,3,5,4,4,4,4,4,42
"36",1158202,5,3,3,5,4,5,5,5,4,50
"37",1158205,5,4,4,4,4,4,5,5,5,57
"38",1158206,5,4,4,4,3,4,5,4,4,10
"39",1158208,4,2,3,2,2,4,2,3,3,53
"40",1158209,5,4,4,5,3,4,5,5,4,56
"41",1158212,4,3,3,3,1,4,2,4,5,50
"42",1158213,5,4,4,4,4,4,5,4,4,11
"43",1158214,5,4,4,4,3,5,5,3,4,16
"44",1158218,5,5,4,5,4,4,5,4,4,53
"45",1158220,5,4,4,4,4,4,5,3,4,54
"46",1158221,5,3,4,3,3,3,4,3,4,53
"47",1158224,5,4,3,5,4,5,5,5,4,54
"48",1158225,5,3,3,5,3,4,3,4,4,50
"49",1158226,5,3,2,4,3,4,5,4,3,54
"50",1158229,5,3,5,4,3,5,4,3,3,47
"51",1158230,5,4,4,4,3,5,5,3,3,48
